Designator,Mid X,Mid Y,Rotation,Layer
C1,-8.275,3.75,180.0,top
C10,1.25,1.75,0.0,top
C11,5.25,-1.75,270.0,top
C12,5.25,2.25,90.0,top
C13,1.5,-3.025,270.0,top
C14,-12.525,3.0,180.0,top
C15,-12.525,7.0,180.0,top
C17,-9.55,-4.25,0.0,top
C2,-4.0,-4.25,270.0,top
C3,-1.225,3.75,0.0,top
C4,-1.5,-4.25,270.0,top
C7,1.25,0.25,180.0,top
C8,-11.275,-13.25,0.0,top
C9,-8.5,-7.725,90.0,top
J2,6.0,-14.25,0.0,top
J3,-3.0,-14.25,0.0,top
L2,-11.75,5.0,90.0,top
R1,0.0,-3.075,270.0,top
R2,-0.425,-7.5,0.0,top
R3,-5.0,-7.5,180.0,top
R4,6.0,5.0,180.0,top
R5,-12.575,-4.25,180.0,top
R6,-11.75,9.5,270.0,top
SW1,7.17,-6.75,180.0,top
SW2,-12.0,-0.83,270.0,top
U1,-4.75,0.25,0.0,top
U3,-10.5,-15.75,180.0,top
Y1,-5.15,8.1,180.0,top
Y2,7.25,0.25,270.0,top
